"itemID","textChunk","textChunk2","MannMln","natLogMannMln"
"1_everyday_pseudo","sein könnte,","sein könnte ",4203,8.34379173199684
"1_everyday_real","sein könnte,","sein könnte ",4203,8.34379173199684
"1_scientific_pseudo","sein könnte,","sein könnte ",4203,8.34379173199684
"1_scientific_real","sein könnte,","sein könnte ",4203,8.34379173199684
"10_everyday_pseudo","eingeschlagen","eingeschlagen",13,2.63905732961526
"10_everyday_real","eingeschlagen","eingeschlagen",13,2.63905732961526
"10_scientific_pseudo","eingeschlagen","eingeschlagen",13,2.63905732961526
"10_scientific_real","eingeschlagen","eingeschlagen",13,2.63905732961526
"11_everyday_pseudo","besonders","besonders",369,5.91350300563827
"11_everyday_real","besonders","besonders",369,5.91350300563827
"11_scientific_pseudo","besonders","besonders",369,5.91350300563827
"11_scientific_real","besonders","besonders",369,5.91350300563827
"12_everyday_pseudo","und bewunderten","und bewunderten",23,3.17805383034795
"12_everyday_real","und bewunderten","und bewunderten",23,3.17805383034795
"12_scientific_pseudo","und bewunderten","und bewunderten",23,3.17805383034795
"12_scientific_real","und bewunderten","und bewunderten",23,3.17805383034795
"13_everyday_pseudo","ausgestellt,","ausgestellt ",18,2.94443897916644
"13_everyday_real","ausgestellt,","ausgestellt ",18,2.94443897916644
"13_scientific_pseudo","ausgestellt,","ausgestellt ",18,2.94443897916644
"13_scientific_real","ausgestellt,","ausgestellt ",18,2.94443897916644
"14_everyday_pseudo","ausgestellt,","ausgestellt ",18,2.94443897916644
"14_everyday_real","ausgestellt,","ausgestellt ",18,2.94443897916644
"14_scientific_pseudo","ausgestellt,","ausgestellt ",18,2.94443897916644
"14_scientific_real","ausgestellt,","ausgestellt ",18,2.94443897916644
"15_everyday_pseudo","und bot einen","und bot einen",194,5.27299955856375
"15_everyday_real","und bot einen","und bot einen",194,5.27299955856375
"15_scientific_pseudo","und bot einen","und bot einen",194,5.27299955856375
"15_scientific_real","und bot einen","und bot einen",194,5.27299955856375
"16_everyday_pseudo","und konnten","und konnten",4203,8.34379173199684
"16_everyday_real","und konnten","und konnten",4203,8.34379173199684
"16_scientific_pseudo","und konnten","und konnten",4203,8.34379173199684
"16_scientific_real","und konnten","und konnten",4203,8.34379173199684
"17_everyday_pseudo","und bemalt","und bemalt",4,1.6094379124341
"17_everyday_real","und bemalt","und bemalt",4,1.6094379124341
"17_scientific_pseudo","und bemalt","und bemalt",4,1.6094379124341
"17_scientific_real","und bemalt","und bemalt",4,1.6094379124341
"18_everyday_pseudo","versiegelt","versiegelt",1,0.693147180559945
"18_everyday_real","versiegelt","versiegelt",1,0.693147180559945
"18_scientific_pseudo","versiegelt","versiegelt",1,0.693147180559945
"18_scientific_real","versiegelt","versiegelt",1,0.693147180559945
"19_everyday_pseudo","auf dem Tisch","auf dem Tisch",101,4.62497281328427
"19_everyday_real","auf dem Tisch","auf dem Tisch",101,4.62497281328427
"19_scientific_pseudo","auf dem Tisch","auf dem Tisch",101,4.62497281328427
"19_scientific_real","auf dem Tisch","auf dem Tisch",101,4.62497281328427
"2_everyday_pseudo","gecheckt worden","gecheckt worden",0,0
"2_everyday_real","gecheckt worden","gecheckt worden",0,0
"2_scientific_pseudo","gecheckt worden","gecheckt worden",0,0
"2_scientific_real","gecheckt worden","gecheckt worden",0,0
"20_everyday_pseudo","und stellten es","und stellten es",701,6.55393340402581
"20_everyday_real","und stellten es","und stellten es",701,6.55393340402581
"20_scientific_pseudo","und stellten es","und stellten es",701,6.55393340402581
"20_scientific_real","und stellten es","und stellten es",701,6.55393340402581
"21_everyday_pseudo","über die sie","über die sie",931,6.83733281468559
"21_everyday_real","über die sie","über die sie",931,6.83733281468559
"21_scientific_pseudo","über die sie","über die sie",931,6.83733281468559
"21_scientific_real","über die sie","über die sie",931,6.83733281468559
"22_everyday_pseudo","und wurde","und wurde",11596,9.3585017229567
"22_everyday_real","und wurde","und wurde",11596,9.3585017229567
"22_scientific_pseudo","und wurde","und wurde",11596,9.3585017229567
"22_scientific_real","und wurde","und wurde",11596,9.3585017229567
"23_everyday_pseudo","und wurde","und wurde",11596,9.3585017229567
"23_everyday_real","und wurde","und wurde",11596,9.3585017229567
"23_scientific_pseudo","und wurde","und wurde",11596,9.3585017229567
"23_scientific_real","und wurde","und wurde",11596,9.3585017229567
"24_everyday_pseudo","bestand,","bestand ",358,5.88332238848828
"24_everyday_real","bestand,","bestand ",358,5.88332238848828
"24_scientific_pseudo","bestand,","bestand ",358,5.88332238848828
"24_scientific_real","bestand,","bestand ",358,5.88332238848828
"3_everyday_pseudo","und arbeitete","und arbeitete",243,5.4971682252932
"3_everyday_real","und arbeitete","und arbeitete",243,5.4971682252932
"3_scientific_pseudo","und arbeitete","und arbeitete",243,5.4971682252932
"3_scientific_real","und arbeitete","und arbeitete",243,5.4971682252932
"4_everyday_pseudo","benutzen,","benutzen ",80,4.39444915467244
"4_everyday_real","benutzen,","benutzen ",80,4.39444915467244
"4_scientific_pseudo","benutzen,","benutzen ",80,4.39444915467244
"4_scientific_real","benutzen,","benutzen ",80,4.39444915467244
"5_everyday_pseudo","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"5_everyday_real","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"5_scientific_pseudo","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"5_scientific_real","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"6_everyday_pseudo","versammelt","versammelt",24,3.2188758248682
"6_everyday_real","versammelt","versammelt",24,3.2188758248682
"6_scientific_pseudo","versammelt","versammelt",24,3.2188758248682
"6_scientific_real","versammelt","versammelt",24,3.2188758248682
"7_everyday_pseudo","und sie","und sie",3813,8.24643378616036
"7_everyday_real","und sie","und sie",3813,8.24643378616036
"7_scientific_pseudo","und sie","und sie",3813,8.24643378616036
"7_scientific_real","und sie","und sie",3813,8.24643378616036
"8_everyday_pseudo","daraus hervor","daraus hervor",97,4.58496747867057
"8_everyday_real","daraus hervor","daraus hervor",97,4.58496747867057
"8_scientific_pseudo","heraus","heraus",121,4.80402104473326
"8_scientific_real","heraus","heraus",121,4.80402104473326
"9_everyday_pseudo","sein könnte,","sein könnte ",4203,8.34379173199684
"9_everyday_real","sein könnte,","sein könnte ",4203,8.34379173199684
"9_scientific_pseudo","sein könnte,","sein könnte ",4203,8.34379173199684
"9_scientific_real","sein könnte,","sein könnte ",4203,8.34379173199684
